BOOT
frequency=50Hz
3xAD7177 test start
{text}b1_nT,b2_nT,b3_nT,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,stm32_roll_deg,stm32_pitch_deg,vertical_raw_nT,vertical_corr_nT
{plotter}19743.029297,13914.816406,-27906.044922,0.055664,-0.006592,0.477783,-0.061069,-0.045802,0.045802,-0.440692,-6.651080,-25537.027344,-25511.912109
{plotter}19742.843750,13915.878906,-27902.208984,0.055786,-0.004883,0.476318,-0.015267,-0.091603,0.030534,-0.446959,-6.653967,-25533.583984,-25512.070312
{plotter}19742.355469,13914.524414,-27906.945312,0.058228,-0.003540,0.478394,0.000000,-0.183206,0.045802,-0.446173,-6.668954,-25532.167969,-25512.115234
{plotter}19741.841797,13913.122070,-27909.494141,0.052368,-0.004639,0.477051,0.045802,0.152672,0.061069,-0.449862,-6.649619,-25543.335938,-25512.962891
{plotter}19748.726562,13916.206055,-27907.455078,0.052246,-0.001709,0.477173,-0.015267,0.030534,-0.061069,-0.440254,-6.632886,-25544.933594,-25513.888672
{plotter}19743.248047,13914.813477,-27906.595703,0.054810,-0.002808,0.475830,0.000000,0.091603,-0.030534,-0.436116,-6.628487,-25545.474609,-25514.808594
{plotter}19750.595703,13916.921875,-27904.107422,0.053955,-0.004761,0.478027,0.000000,0.152672,0.030534,-0.441588,-6.617785,-25547.736328,-25515.849609
{plotter}19747.271484,13917.135742,-27909.607422,0.058350,-0.002197,0.473267,-0.045802,-0.015267,0.000000,-0.435508,-6.634438,-25545.500000,-25516.675781
{plotter}19748.544922,13914.143555,-27908.369141,0.055176,-0.003418,0.476318,0.030534,-0.213740,-0.061069,-0.433807,-6.637557,-25542.451172,-25517.240234
{plotter}19744.990234,13916.676758,-27910.216797,0.060913,-0.001831,0.473145,0.076336,-0.442748,0.030534,-0.423913,-6.674260,-25527.722656,-25516.707031
